X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxx_WaypointExtension,wptx1_WaypointExtension,ctx_CreationTimeExtension
148.923906991258,-37.1962759830058,959.514404,2018/03/10 09:41:07+00,,,EEE01GGV305020,,,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-03-10T09:41:07Z</ctx:CreationTime>      
148.9236869663,-37.1965120173991,963.761475,2018/03/10 09:48:40+00,,,EEE02GGV000000,,,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-03-10T09:48:40Z</ctx:CreationTime>      
148.924695979804,-37.186403023079,895.439819,2018/03/10 10:28:11+00,,,EEE03GGV000000,,,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-03-10T10:28:11Z</ctx:CreationTime>      
148.921376997605,-37.1924819983542,938.930176,2018/03/10 13:30:33+00,,,EEE04GGV010015,,,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-03-10T13:30:33Z</ctx:CreationTime>      
148.918457999825,-37.1926270052791,913.15918,2018/03/10 15:17:10+00,,,EEE05GGV,,,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-03-10T15:17:10Z</ctx:CreationTime>      
145.984288975596,-37.7863250020891,656.047791,2017/10/07 11:18:39+00,,,EPH01GGV,1014267,1014267,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T11:18:39Z</ctx:CreationTime>      
145.984297022223,-37.7863700129092,655.723145,2017/10/07 11:22:12+00,,,EPH02GGV,1014261,1014261,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T11:22:12Z</ctx:CreationTime>      
145.983119029552,-37.7861619740725,618.190613,2017/10/07 11:58:38+00,,,EPH03GGV,1014274,1014274,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T11:58:38Z</ctx:CreationTime>      
145.987609969452,-37.7849259786308,743.297729,2017/10/07 14:05:50+00,,,EPH07GGV,IMG 4297,IMG 4297,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T14:05:50Z</ctx:CreationTime>      
145.98696003668,-37.7829399704933,741.952209,2017/10/07 11:01:24+00,,,EPH11GGV,IMG 1641,IMG 1641,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T11:01:24Z</ctx:CreationTime>      
145.98696003668,-37.7829399704933,741.952209,2017/10/07 11:01:24+00,,,EPH11GGV000000,IMG 1621,IMG 1621,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T11:01:24Z</ctx:CreationTime>      
145.983883040026,-37.7844939753413,657.36261,2017/10/07 11:55:24+00,,,EPH12GGV,IMG 1638,IMG 1638,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T11:55:24Z</ctx:CreationTime>      
