lng,lat,UNIQUE_ID,Sighting Order,RECORD_ID,STATUS,SOURCE,STARTDATE,SRC_GROUP,LBP_USAGE,LBPBUFF_ID,RECORDTYPE,XCOORD,YCOORD,Method,species,common name
145.733183,-37.89268303,856,#105,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT289.2,New (verified) record post-February 2014,145.733183,-37.892683,Camera Trap,Gymnobelideus leadbeateri,Leadbeater's possum
145.752283,-37.82270001,847,#102,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT398.1,New (verified) record post-February 2014,145.752283,-37.8227,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.7560501,-37.81973297,568,#13,8436755,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),4/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT316.1,New (verified) record post-February 2014,145.75605,-37.819733,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.758783,-37.81861702,569,#14,8436756,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),4/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT316.2,New (verified) record post-February 2014,145.758783,-37.818617,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.75975,-37.82596702,605,#43,8436792,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),7/9/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT332.1,New (verified) record post-February 2014,145.75975,-37.825967,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.761,-37.81821704,637,#66,8491852,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),19/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT316.3,New (verified) record post-February 2014,145.761,-37.818217,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.762133,-37.82498303,638,#67,8491853,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),19/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT332.2,New (verified) record post-February 2014,145.762133,-37.824983,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.765233,-37.82593297,639,#68,8491854,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),19/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT332.3,New (verified) record post-February 2014,145.765233,-37.825933,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.766533,-37.80118304,619,#48,8436797,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),19/9/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT339.1,New (verified) record post-February 2014,145.766533,-37.801183,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.767417,-37.82518302,640,#69,8491855,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),19/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT332.4,New (verified) record post-February 2014,145.767417,-37.825183,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
